ZONA;RED;CIUDAD;AGENCIA;TIPO;MES;CUATRIMESTRE;ACTITUD;DESTREZAS DE SERVICIOS;IMAGEN Y ORDEN;CLIENTE FANTASMA;LEALTAD_ESFUERZO;LEALTAD_RECOMENDACIÓN;LEALTAD_RECOMPRA;LEALTAD_SATISFACCIÓN;ENCUESTA DE LEALTAD;INDICE CALIDAD DE SERVICIO;column.Auxiliar
ZONA 2;RED AGENCIAS;GUAYAQUIL;GRAN AKI DURÁN;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;100,00%;100,00%;95,00%;98,3%;99,2%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;LA LIBERTAD;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;5,00%;100,00%;90,00%;95,00%;95,0%;97,5%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;LOS RIOS;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;90,00%;100,00%;95,00%;95,0%;97,5%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;POLICENTRO;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;70,00%;95,00%;50,00%;71,7%;85,8%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;SAN EDUARDO;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;100,00%;100,00%;95,00%;98,3%;99,2%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;SAN FRANCISCO;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;100,00%;100,00%;90,00%;96,7%;98,3%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;SUPER AKI SAUCES;EXPRESS;nov-22;C3;100,0%;100,0%;100,0%;100,0%;5,00%;95,00%;100,00%;100,00%;98,3%;99,2%;1
ZONA 2;RED AGENCIAS;LOJA;LOJA;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;100,00%;100,00%;100,00%;100,0%;100,0%;1
ZONA 2;RED AGENCIAS;MACHALA;MACHALA;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;95,00%;100,00%;85,00%;93,3%;96,7%;1
ZONA 2;RED AGENCIAS;MANTA;SERVIP EXPRESS JAPON MANTA;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;6,67%;86,67%;100,00%;100,00%;95,6%;97,8%;1
ZONA 1;RED AGENCIAS;QUITO;PORTAL SHOPPING;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,00%;100,00%;80,00%;88,3%;94,2%;1
ZONA 1;RED AGENCIAS;QUITO;MULTIPLAZA LOS CHILLOS;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;5,00%;70,00%;95,00%;65,00%;76,7%;88,3%;1
ZONA 1;RED AGENCIAS;QUITO;QUITUMBE;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;80,00%;100,00%;80,00%;86,7%;93,3%;1
ZONA 1;RED AGENCIAS;QUITO;PUERTAS DEL SOL;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,00%;100,00%;80,00%;88,3%;94,2%;1
